Vg_V,P_uC_cm2,E_MV_cm
-3.17500000000003,1.17772478697061,0.676701882167001
-3.20000000000003,1.20443084860677,0.6796396986817929
-3.22500000000004,1.23115494145364,0.6825756171599349
-3.25000000000004,1.25789666055936,0.685509688394074
-3.27500000000004,1.28465560531195,0.688441963526363
-3.30000000000004,1.31143137925682,0.691372494029529
-3.32500000000004,1.3382235899264001,0.694301331689642
-3.35000000000004,1.36503184866641,0.69722852858885
-3.37500000000004,1.39185577049214,0.7001541370917289
-3.40000000000004,1.41869497394085,0.7030782098314929
-3.42500000000004,1.44554908092574,0.706000799696663
-3.45000000000004,1.4724177166007901,0.708921959819189
-3.47500000000004,1.49930050922937,0.7118417435632309
-3.50000000000004,1.52619709006355,0.714760204515345
-3.52500000000004,1.55310709322291,0.717677396474828
-3.55000000000004,1.5800301555854401,0.7205933734455939
-3.57500000000004,1.60696591667172,0.723508189627516
-3.60000000000004,1.6339140185493,0.726421899410147
-3.62500000000004,1.66087410572615,0.729334557365422
-3.65000000000004,1.6878458250564201,0.732246218241883
-3.67500000000004,1.71482882564838,0.735156936959282
-3.70000000000004,1.74182275877593,0.73806676860372
-3.72500000000004,1.76882727778801,0.740975768422716
-3.75000000000004,1.79584203803188,0.7438839918218969
-3.77500000000004,1.82286669676737,0.746791494360847
-3.80000000000004,1.84990090384174,0.749698330755907
-3.82500000000004,1.87694420595453,0.7526045446026549
-3.85000000000004,1.90399623052591,0.755510188153655
-3.87500000000004,1.93105664015937,0.7584153174124199
-3.90000000000004,1.9581250988971,0.761319988509646
-3.92500000000005,1.9852012721559498,0.7642242577020409
-3.95000000000005,2.0122848266623,0.7671281813711239
-3.97500000000005,2.0393754303890703,0.7700318160223499
-4.0,2.0664727524984396,0.772935218284916
