V_G_V,E_MVcm,P_uCcm2
1.199999999999999956e+00,2.241373053086170020e-01,-1.918816101238610017e+00
1.149999999999999911e+00,2.359304156927299889e-01,-1.893041019493669985e+00
1.100000000000000089e+00,2.476549087173969821e-01,-1.867022452565670010e+00
1.050000000000000044e+00,2.593107221429190035e-01,-1.840764510554349975e+00
1.000000000000000000e+00,2.708977449801229787e-01,-1.814271578419270003e+00
9.500000000000029532e-01,2.824158074703749799e-01,-1.787548345341679834e+00
9.000000000000030198e-01,2.938646691861109828e-01,-1.760599840361849910e+00
8.500000000000029754e-01,3.052440047936150203e-01,-1.733431475817289957e+00
8.000000000000030420e-01,3.165533868824789709e-01,-1.706049100556569886e+00
7.500000000000039968e-01,3.277922650792049475e-01,-1.678459065514410042e+00
7.000000000000039524e-01,3.389599404032360153e-01,-1.650668305078009990e+00
6.500000000000040190e-01,3.500555334574629862e-01,-1.622684438862530110e+00
6.000000000000039746e-01,3.610779445163279644e-01,-1.594515900222010174e+00
5.500000000000040412e-01,3.720258027905599674e-01,-1.566172100341280071e+00
5.000000000000039968e-01,3.828974009497769782e-01,-1.537663640581759861e+00
4.500000000000050071e-01,3.936906090902689836e-01,-1.509002591770070012e+00
4.000000000000050182e-01,4.044027592237179891e-01,-1.480202868946340011e+00
3.500000000000049738e-01,4.150304860482129654e-01,-1.451280746796040022e+00
3.000000000000049849e-01,4.255695002441439723e-01,-1.422255590785750146e+00
2.500000000000049960e-01,4.360142532700629903e-01,-1.393150933105290035e+00
2.000000000000060063e-01,4.463574201022870169e-01,-1.363996124484750050e+00
1.500000000000059897e-01,4.565890678090919752e-01,-1.334828978094020124e+00
1.000000000000060008e-01,4.666952809267129743e-01,-1.305700133136159957e+00
5.000000000000599798e-02,4.766558854562289449e-01,-1.276680295354419847e+00
6.217248937900879782e-15,4.864402888343619669e-01,-1.247873435346869897e+00
-4.999999999999359818e-02,4.960008727478129598e-01,-1.219437981348930000e+00
-9.999999999999339972e-02,5.052646576911069554e-01,-1.191614236084799883e+00
-1.499999999999930000e-01,5.141083650859419318e-01,-1.164803440119299927e+00
-1.999999999999929889e-01,5.223065938614860348e-01,-1.139732625785419895e+00
-2.499999999999930056e-01,5.294117469948059762e-01,-1.117835817131100029e+00
-2.999999999999929945e-01,5.345812003872789653e-01,-1.101805793130449906e+00
-3.499999999999929834e-01,5.370798748541749656e-01,-1.094027142269410113e+00
-3.999999999999919731e-01,5.377963748064800154e-01,-1.091792273954270032e+00
-4.499999999999920175e-01,5.379970829569029611e-01,-1.091165422940509888e+00
-4.999999999999920064e-01,5.381013475461580153e-01,-1.090839449944559947e+00
-5.499999999999920508e-01,5.381880464797089703e-01,-1.090568289815819991e+00
-5.999999999999919842e-01,5.382706320160309810e-01,-1.090309959289959885e+00
-6.499999999999910294e-01,5.383516851693809224e-01,-1.090056399200019843e+00
-6.999999999999909628e-01,5.384318879872279640e-01,-1.089805478597750010e+00
-7.499999999999910072e-01,5.385115350675769852e-01,-1.089556276816010083e+00
-7.999999999999910516e-01,5.385909242426799581e-01,-1.089307863795710096e+00
-8.499999999999909850e-01,5.386711652189180022e-01,-1.089056776902139978e+00
-8.999999999999910294e-01,5.387591648930100119e-01,-1.088781466043859947e+00
-9.499999999999899636e-01,5.388994315565799331e-01,-1.088343047465140101e+00
-9.999999999999900080e-01,5.393292693973430474e-01,-1.087000736252929922e+00
-1.049999999999990052e+00,5.406657450376159968e-01,-1.082824730577020000e+00
-1.099999999999990097e+00,5.431869844929829716e-01,-1.074931270657710103e+00
-1.149999999999989919e+00,5.465586805663510406e-01,-1.064343642973240023e+00
-1.199999999999989964e+00,5.505181262451719348e-01,-1.051865025682219956e+00
-1.249999999999990008e+00,5.549984754930540332e-01,-1.037686111553010049e+00
-1.299999999999990052e+00,5.600485421246579332e-01,-1.021629869492399978e+00
-1.349999999999990097e+00,5.657526623201509786e-01,-1.003399512203370092e+00
-1.399999999999989919e+00,5.721533747081770649e-01,-9.828235822510340558e-01
-1.449999999999989964e+00,5.792142009252059243e-01,-9.599797495594400987e-01
