state,vds_idx,point,Vds_V,Vg_V,Id_uA_um
pgm,0,16,5.000000e-02,-7.000000e-01,7.259333e-07
pgm,0,17,5.000000e-02,-6.500000e-01,1.594435e-06
pgm,0,18,5.000000e-02,-6.000000e-01,3.265387e-06
pgm,0,19,5.000000e-02,-5.500000e-01,1.597290e-05
pgm,0,20,5.000000e-02,-5.000000e-01,9.760594e-05
pgm,0,21,5.000000e-02,-4.500000e-01,5.487240e-04
pgm,0,22,5.000000e-02,-4.000000e-01,2.658401e-03
pgm,0,23,5.000000e-02,-3.500000e-01,1.389952e-02
pgm,0,24,5.000000e-02,-3.000000e-01,7.167045e-02
pgm,0,25,5.000000e-02,-2.500000e-01,3.017717e-01
pgm,0,26,5.000000e-02,-2.000000e-01,1.100194e+00
pgm,0,27,5.000000e-02,-1.500000e-01,3.710541e+00
pgm,0,28,5.000000e-02,-1.000000e-01,9.330630e+00
pgm,0,29,5.000000e-02,-5.000000e-02,1.633240e+01
pgm,0,30,5.000000e-02,0.000000e+00,2.293446e+01
pgm,0,31,5.000000e-02,5.000000e-02,2.872253e+01
pgm,0,32,5.000000e-02,1.000000e-01,3.380201e+01
pgm,0,33,5.000000e-02,1.500000e-01,3.832895e+01
pgm,0,34,5.000000e-02,2.000000e-01,4.244068e+01
pgm,0,35,5.000000e-02,2.500000e-01,4.632418e+01
pgm,0,36,5.000000e-02,3.000000e-01,5.007226e+01
pgm,0,37,5.000000e-02,3.500000e-01,5.289056e+01
pgm,0,38,5.000000e-02,4.000000e-01,5.502936e+01
pgm,0,39,5.000000e-02,4.500000e-01,5.695899e+01
pgm,0,40,5.000000e-02,5.000000e-01,5.879902e+01
pgm,0,41,5.000000e-02,5.500000e-01,6.055912e+01
pgm,0,42,5.000000e-02,6.000000e-01,6.208950e+01
pgm,0,43,5.000000e-02,6.500000e-01,6.305402e+01
pgm,0,44,5.000000e-02,7.000000e-01,6.399063e+01
pgm,0,45,5.000000e-02,7.500000e-01,6.489384e+01
pgm,0,46,5.000000e-02,8.000000e-01,6.574588e+01
