timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
676,1.91256,1.214636,0.92907137,1.2994487,1.4329256
677,1.9106483,1.329705,0.9281427,1.29815,1.5466744
678,1.9087386,1.3283759,0.92721504,1.2968525,1.5451285
679,1.9068308,1.3270482,0.9262883,1.2955563,1.5435841
680,2.0153525,1.3257217,0.92536247,1.4102159,1.5420413
681,2.013338,1.3243966,0.9244376,1.4088063,1.5405
682,2.0113258,1.3230729,0.9235136,1.4073982,1.5389603
683,2.0093155,1.3217505,0.92259055,1.4059916,1.5374222
684,2.007307,1.4362575,0.9216684,1.4045862,1.5358855
685,2.0053008,1.434822,0.9207472,1.4031823,1.5343503
686,2.0032964,1.4333879,0.9198269,1.4017798,1.5328166
687,2.0012941,1.4319552,0.9189075,1.4003787,1.5312846
688,1.9992938,1.430524,0.9179891,1.5143678,1.529754
689,1.9972955,1.4290942,0.9170715,1.5128542,1.5282251
690,1.9952992,1.4276658,0.9161549,1.511342,1.5266976
691,1.9933048,1.5414546,0.9152392,1.5098314,1.5251716
692,1.9913125,1.5399139,0.9143244,1.5083224,1.5236472
693,1.9893222,1.5383748,0.91341054,1.5068147,1.5221243
694,1.9873339,1.5368371,0.9124976,1.5053086,1.520603
695,1.9853475,1.535301,0.9115855,1.6184682,1.5190831
696,1.9833632,1.5337664,0.9106744,1.6168505,1.5175648
697,1.9813807,1.5322334,0.9097642,1.6152345,1.516048
698,1.9794003,1.5307019,0.90885484,1.61362,1.5145327
699,1.9774219,1.529172,0.9079464,1.6120073,1.5130188
700,1.9754454,1.5276436,0.9070389,1.610396,1.5115066
701,1.9734709,1.640606,0.90613234,1.6087865,1.5099958
702,1.9714984,1.6389662,0.90522665,1.6071784,1.5084865
703,1.9695278,1.637328,0.90432185,1.6055721,1.5069788
704,1.9675592,1.6356915,0.90341794,1.6039673,1.5054725
705,1.9655926,1.6340567,0.902515,1.7162024,1.5039678
706,1.9636279,1.6324234,0.90161294,1.7144871,1.5024645
707,1.9616653,1.6307918,0.9007118,1.7127734,1.5009629
708,1.9597045,1.6291618,0.8998115,1.7110615,1.4994626
709,1.9577458,1.6275334,0.89891213,1.7093513,1.4979639
710,1.955789,1.6259067,0.89801365,1.7076428,1.4964666
711,1.9538342,1.6242816,0.89711607,1.705936,1.4949709
712,1.9518813,1.7363089,0.8962194,1.7042309,1.4934766
713,1.9499303,1.7345735,0.8953236,1.7025275,1.4919839
714,1.9479814,1.7328397,0.8944287,1.7008258,1.4904926
715,1.9460343,1.7311077,0.89353466,1.6991258,1.4890028
716,1.9440892,1.7293775,0.89264154,1.6974275,1.4875145
717,1.9421461,1.727649,0.8917493,1.8086575,1.4860277
718,1.9402049,1.7259222,0.890858,1.8068497,1.4845424
719,1.9382656,1.7241971,0.88996756,1.8050437,1.4830586
720,1.9363283,1.835116,0.889078,1.8032396,1.4815762
721,1.9343929,1.8332818,0.8881894,1.8014373,1.4800954
722,1.9324595,1.8314494,0.8873016,1.7996367,1.478616
723,1.9305279,1.8296188,0.88641477,1.9096237,1.4771382
724,1.9285983,1.8277901,0.8855288,1.9077151,1.4756618
725,1.9266707,1.8259633,0.88464373,1.9058083,1.4741868
726,1.924745,1.8241382,0.8837595,1.9039035,1.4727134
727,1.9228212,1.822315,0.88287616,1.9020005,1.4712414
728,1.9208993,1.8204936,0.8819937,1.9000995,1.4697708
729,1.9189793,1.818674,0.88111216,1.8982004,1.4683018
730,1.9170612,1.8168561,0.8802315,1.8963032,1.4668342
731,1.915145,1.8150402,0.8793517,1.8944077,1.465368
732,1.9132308,1.8132261,0.87847275,1.8925142,1.4639034
733,1.9113185,1.8114138,0.8775947,2.0012412,1.4624403
734,1.9094082,1.8096032,0.87671757,1.999241,1.4609785
735,1.9074998,1.8077945,0.87584126,1.9972427,1.4595182
736,1.9055933,1.9176757,0.87496585,1.9952464,1.4580594
737,1.9036887,1.915759,0.8740913,1.9932522,1.4566021
738,1.901786,1.9138441,0.87321764,1.9912599,1.4551462
739,1.899885,1.9119312,0.87234485,1.9892696,1.4536917
740,2.0085068,1.9100201,0.87147295,1.9872813,1.4522388
741,2.0064993,1.908111,0.8706019,1.985295,1.4507873
742,2.0044937,1.9062037,0.8697317,1.9833107,1.4493372
743,2.0024903,1.9042984,0.8688624,1.9813284,1.4478886
744,2.0004888,2.0128567,0.86799395,1.9793481,1.4464414
745,1.9984893,2.010845,0.8671264,1.9773697,1.4449956
746,1.9964918,2.008835,0.8662597,2.084837,1.4435513
747,1.9944962,2.006827,0.8653939,2.0827532,1.4421085
748,2.1016967,2.0048213,0.8645289,2.0806715,1.4406672
749,2.099596,2.0028174,0.8636648,2.0785918,1.4392272
750,2.0974975,2.0008156,0.86280155,2.0765142,1.4377887
751,2.095401,1.9988158,0.8619392,2.0744388,1.4363517
752,2.0933068,1.996818,0.86107767,2.0723653,1.434916
753,2.0912144,1.9948221,0.86021703,2.070294,1.4334818
754,2.0891242,2.1020176,0.85935724,2.0682247,1.432049
755,2.0870361,2.0999167,0.8584983,2.0661573,1.5458045
756,2.0849502,2.097818,0.8576402,2.0640922,1.5442594
757,2.0828662,2.095721,0.856783,2.0620291,1.5427159
758,2.0807843,2.0936263,0.85592663,2.059968,1.5411739
759,2.0787046,2.0915337,0.8550711,2.057909,1.5396335
760,2.076627,2.0894432,0.85421646,2.0558522,1.5380946
761,2.0745513,2.087355,0.8533627,2.0537972,1.5365573
762,2.0724778,2.0852685,0.85250974,2.0517445,1.5350215
763,2.0704064,2.0831842,0.8516576,2.0496938,1.5334873
764,2.068337,2.0811021,0.8508064,2.047645,1.5319545
765,2.1743388,2.079022,0.84995604,2.0455985,1.5304233
766,2.1721656,2.0769439,0.8491065,2.0435538,1.5288936
767,2.1699946,2.074868,0.8482578,2.0415113,1.5273654
768,2.1678257,2.0727942,0.84740996,2.0394707,1.5258389
769,2.165659,2.0707223,0.846563,2.0374322,1.5243138
770,2.1634943,2.0686526,0.84571683,2.0353959,1.5227902
771,2.161332,2.066585,0.8448715,2.0333614,1.5212681
772,2.1591716,2.0645194,0.84402704,2.139941,1.6342876
773,2.1570134,2.062456,0.84318346,2.1378021,1.6326541
774,2.1548574,2.0603945,0.8423407,2.1356654,1.6310222
775,2.1527035,2.058335,0.8414988,2.1335309,1.629392
776,2.1505518,2.0562778,0.8406577,2.1313984,1.6277634
777,2.1484022,2.0542226,0.83981746,2.1292682,1.6261364
778,2.1462548,2.0521693,0.83897805,2.12714,1.6245111
779,2.2509067,2.0501182,0.8381395,2.1250138,1.6228874
780,2.248657,2.048069,0.83730173,2.1228898,1.6212653
781,2.2464094,2.046022,0.8364648,2.1207678,1.7333238
782,2.244164,2.043977,0.83562875,2.118648,1.7315913
783,2.241921,2.150383,0.8347935,2.1165304,1.7298605
784,2.23968,2.1482337,0.8339591,2.114415,1.7281315
785,2.2374415,2.1460865,0.83312553,2.1123016,1.7264042
786,2.2352052,2.1439414,0.8322928,2.1101904,1.7246786
787,2.232971,2.1417985,0.8314609,2.1080813,1.7229548
788,2.230739,2.1396577,0.8306298,2.1059742,1.7212327
789,2.2285094,2.1375191,0.8297996,2.1038692,1.7195122
790,2.2262821,2.1353827,0.8289702,2.1017663,1.7177936
791,2.224057,2.2402282,0.8281416,2.0996656,1.7160766
792,2.221834,2.237989,0.8273139,2.097567,1.7143614
793,2.2196133,2.235752,0.826487,2.0954704,1.7126479
794,2.2173948,2.2335174,0.82566094,2.093376,1.7109361
795,2.2151785,2.231285,0.82483566,2.0912836,1.709226
796,2.2129643,2.229055,0.8240112,2.0891933,1.8203202
797,2.2107525,2.226827,0.8231876,2.0871053,1.8185009
798,2.2085428,2.2246013,0.8223648,2.085019,1.8166833
799,2.2063353,2.2223778,0.82154286,2.082935,1.8148675
800,2.20413,2.2201564,0.82072175,2.0808532,1.8130535
801,2.201927,2.2179375,0.8199014,2.0787735,1.8112413
802,2.199726,2.2157207,0.8190819,2.0766957,1.809431
803,2.1975274,2.213506,0.81826323,2.07462,1.8076224
804,2.1953309,2.2112935,0.8174454,2.0725465,1.8058157
805,2.2990878,2.2090833,0.81662834,2.0704749,1.8040107
806,2.29679,2.2068753,0.8158121,2.0684054,1.8022076
807,2.2944942,2.2046695,0.8149967,2.066338,1.8004062
808,2.2922008,2.2024658,0.8141821,2.0642726,1.7986066
809,2.2899098,2.2002645,0.8133683,2.0622094,1.796809
