node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,0.00064,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000685,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000685,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00073,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00073,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000775,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000775,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00082,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00082,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000865,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000865,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00091,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00091,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000955,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000955,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.001,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.001,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.001,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.001,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00145,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00145,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.0019,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.0019,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.002349999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.002349999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.002799999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.002799999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.003249999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.003249999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.003699999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.003699999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.004149999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.004149999,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.004599998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.004599998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.005049998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.005049998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.005499998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.005499998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.005949998,2.483308,1.0,plateau,2.483308,0.6215499648050137
