series,overdrive_V,I_over_Ion,Vt_V,Ion_A
"TCAD, erased",-1.8971735998133072,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.8771735998133572,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.8571735998134171,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.8371735998134673,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.8171735998135272,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.7971735998135772,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.777173599813627,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.7571735998136873,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.7371735998137372,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.7171735998137871,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.6971735998138473,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.6771735998138972,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.6571735998139572,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.6371735998140071,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.6171735998140573,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.5971735998141172,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.5771735998141672,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.557173599814217,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.5371735998142773,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.5171735998143272,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.4971735998143871,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.4771735998144373,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.4571735998144872,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.4371735998145472,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.4171735998145971,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.3971735998146473,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.3771735998147072,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.3571735998147572,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.337173599814813,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.317173599814867,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.29717359981492,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.2771735998149742,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.2571735998150282,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.2371735998150821,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.217173599815136,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.1971735998151891,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.177173599815243,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.1571735998152972,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.1371735998153512,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.117173599815405,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.0971735998154581,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.077173599815512,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.0571735998155662,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.0371735998156202,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.0171735998156732,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.9971735998157272,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.9771735998157811,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.957173599815835,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.9371735998158892,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.917173599815942,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.8971735998159962,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.8771735998160501,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.8571735998161032,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.8371735998161571,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.8171735998162111,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.7971735998162651,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.7771735998163192,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.7571735998163722,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.7371735998164262,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.7171735998164801,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.6971735998165342,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.6771735998165882,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.6571735998166411,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.6371735998166952,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.6171735998167491,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.5971735998168032,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.5771735998168561,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.5571735998169102,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.5371735998169641,2.635714988381579e-07,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.5171735998170182,9.444774793721553e-07,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-0.49717359981707215,1.5564582302238108e-06,0.35717359980803715,1.0709819098929524e-06
