Vg_V,I_A,state,series
-2.22000000000344,1.4323985329085705e-09,erased,TCAD
-2.2000000000035,1.4311522686506988e-09,erased,TCAD
-2.18000000000355,1.42988902037257e-09,erased,TCAD
-2.1600000000036,1.4286085713930742e-09,erased,TCAD
-2.14000000000366,1.4273103185041976e-09,erased,TCAD
-2.12000000000371,1.4259940534201182e-09,erased,TCAD
-2.10000000000376,1.4246591094670245e-09,erased,TCAD
-2.08000000000382,1.423305273434718e-09,erased,TCAD
-2.06000000000387,1.4219317970277447e-09,erased,TCAD
-2.04000000000393,1.420538456026784e-09,erased,TCAD
-2.02000000000398,1.4191244060118326e-09,erased,TCAD
-2.00000000000403,1.4176894093766058e-09,erased,TCAD
-1.98000000000409,1.41623251387169e-09,erased,TCAD
-1.96000000000414,1.4147534683402944e-09,erased,TCAD
-1.94000000000419,1.4132511994229255e-09,erased,TCAD
-1.92000000000425,1.4117254405441333e-09,erased,TCAD
-1.9000000000043,1.4101749822677276e-09,erased,TCAD
-1.88000000000436,1.4085995399935272e-09,erased,TCAD
-1.86000000000441,1.4069977577285287e-09,erased,TCAD
-1.84000000000446,1.405369331551172e-09,erased,TCAD
-1.82000000000452,1.4037127476662023e-09,erased,TCAD
-1.80000000000457,1.4020276784313318e-09,erased,TCAD
-1.78000000000462,1.4003124417906028e-09,erased,TCAD
-1.76000000000468,1.3985666691597083e-09,erased,TCAD
-1.74000000000473,1.3967885080889608e-09,erased,TCAD
-1.72000000000479,1.3949775546256805e-09,erased,TCAD
-1.70000000000484,1.3931319994852698e-09,erased,TCAD
-1.68000000000489,1.3912507718435544e-09,erased,TCAD
-1.66000000000495,1.3893323711949534e-09,erased,TCAD
-1.640000000005,1.387373091889257e-09,erased,TCAD
-1.62000000000505,1.3853740788024734e-09,erased,TCAD
-1.60000000000511,1.3833335954370847e-09,erased,TCAD
-1.58000000000516,1.381249980058881e-09,erased,TCAD
-1.56000000000522,1.3791214800571442e-09,erased,TCAD
-1.54000000000527,1.3769463040111782e-09,erased,TCAD
-1.52000000000532,1.3747225159399308e-09,erased,TCAD
-1.50000000000538,1.3724481004964061e-09,erased,TCAD
