cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
7,fire,8,fall,-2.651028e-16,5.507685e-16,2.856657e-16,30
7,fire,8,read,7.404151e-17,3.697166e-18,7.773868e-17,21
7,fire,9,rise,2.578253e-16,5.404648e-16,7.982901e-16,30
7,fire,9,write,3.611733e-15,1.232074e-13,1.268191e-13,11
7,fire,9,fall,-2.651901e-16,5.515148e-16,2.863247e-16,30
7,fire,9,read,7.404615e-17,3.697396e-18,7.774355e-17,21
7,erase,0,rise,3.567424e-16,2.850649e-18,3.595930e-16,30
7,erase,0,hold,1.147571e-14,4.805382e-17,1.152376e-14,41
7,erase,0,fall,-1.631533e-15,3.727547e-19,-1.631161e-15,31
7,relax,0,hold,-1.991489e-14,2.479260e-16,-1.966697e-14,71
8,fire,1,rise,2.653810e-16,5.440178e-16,8.093988e-16,30
8,fire,1,write,3.610963e-15,1.230442e-13,1.266551e-13,11
8,fire,1,fall,-2.647056e-16,5.474168e-16,2.827112e-16,30
8,fire,1,read,7.402508e-17,3.696359e-18,7.772144e-17,21
8,fire,2,rise,2.572881e-16,5.368172e-16,7.941054e-16,30
8,fire,2,write,3.611023e-15,1.230506e-13,1.266616e-13,11
8,fire,2,fall,-2.647280e-16,5.476059e-16,2.828778e-16,30
8,fire,2,read,7.402482e-17,3.696345e-18,7.772116e-17,21
8,fire,3,rise,2.573260e-16,5.370718e-16,7.943977e-16,30
8,fire,3,write,3.611096e-15,1.230625e-13,1.266736e-13,11
8,fire,3,fall,-2.647654e-16,5.479197e-16,2.831543e-16,30
8,fire,3,read,7.402570e-17,3.696388e-18,7.772209e-17,21
8,fire,4,rise,2.573807e-16,5.374408e-16,7.948215e-16,30
8,fire,4,write,3.611182e-15,1.230789e-13,1.266900e-13,11
8,fire,4,fall,-2.648152e-16,5.483381e-16,2.835229e-16,30
8,fire,4,read,7.402756e-17,3.696480e-18,7.772404e-17,21
8,fire,5,rise,2.574495e-16,5.379052e-16,7.953547e-16,30
8,fire,5,write,3.611276e-15,1.230990e-13,1.267103e-13,11
8,fire,5,fall,-2.648753e-16,5.488432e-16,2.839678e-16,30
8,fire,5,read,7.403026e-17,3.696613e-18,7.772687e-17,21
8,fire,6,rise,2.575297e-16,5.384481e-16,7.959778e-16,30
8,fire,6,write,3.611377e-15,1.231223e-13,1.267337e-13,11
8,fire,6,fall,-2.649437e-16,5.494182e-16,2.844744e-16,30
8,fire,6,read,7.403359e-17,3.696777e-18,7.773036e-17,21
8,fire,7,rise,2.576191e-16,5.390548e-16,7.966739e-16,30
8,fire,7,write,3.611485e-15,1.231480e-13,1.267595e-13,11
8,fire,7,fall,-2.650187e-16,5.500501e-16,2.850314e-16,30
8,fire,7,read,7.403732e-17,3.696961e-18,7.773428e-17,21
8,fire,8,rise,2.577158e-16,5.397126e-16,7.974284e-16,30
8,fire,8,write,3.611600e-15,1.231758e-13,1.267874e-13,11
8,fire,8,fall,-2.650990e-16,5.507298e-16,2.856308e-16,30
8,fire,8,read,7.404126e-17,3.697160e-18,7.773842e-17,21
8,fire,9,rise,2.578202e-16,5.404254e-16,7.982456e-16,30
8,fire,9,write,3.611729e-15,1.232059e-13,1.268177e-13,11
8,fire,9,fall,-2.651863e-16,5.514751e-16,2.862888e-16,30
8,fire,9,read,7.404587e-17,3.697388e-18,7.774326e-17,21
8,erase,0,rise,3.567408e-16,2.850642e-18,3.595914e-16,30
8,erase,0,hold,1.147570e-14,4.805381e-17,1.152375e-14,41
8,erase,0,fall,-1.617523e-15,3.252618e-19,-1.617198e-15,31
8,relax,0,hold,-1.991490e-14,2.479231e-16,-1.966698e-14,71
9,fire,1,rise,2.653812e-16,5.440203e-16,8.094014e-16,30
9,fire,1,write,3.610964e-15,1.230443e-13,1.266552e-13,11
9,fire,1,fall,-2.647058e-16,5.474189e-16,2.827131e-16,30
9,fire,1,read,7.402510e-17,3.696360e-18,7.772146e-17,21
9,fire,2,rise,2.572884e-16,5.368193e-16,7.941077e-16,30
9,fire,2,write,3.611023e-15,1.230507e-13,1.266617e-13,11
9,fire,2,fall,-2.647282e-16,5.476077e-16,2.828795e-16,30
9,fire,2,read,7.402486e-17,3.696348e-18,7.772121e-17,21
9,fire,3,rise,2.573262e-16,5.370732e-16,7.943993e-16,30
9,fire,3,write,3.611096e-15,1.230625e-13,1.266736e-13,11
9,fire,3,fall,-2.647655e-16,5.479204e-16,2.831549e-16,30
9,fire,3,read,7.402575e-17,3.696391e-18,7.772215e-17,21
9,fire,4,rise,2.573806e-16,5.374405e-16,7.948211e-16,30
9,fire,4,write,3.611180e-15,1.230788e-13,1.266900e-13,11
9,fire,4,fall,-2.648150e-16,5.483364e-16,2.835214e-16,30
