file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c2_p2_rise_cyclic_vm10_des.plt,2,2,rise,8.204000e-05,8.204100e-05,2.722477e-16,6.504769e-16,9.227247e-16,30
c2_p2_rise_cyclic_vm4_des.plt,2,2,rise,8.204000e-05,8.204100e-05,2.651775e-16,5.992736e-16,8.644511e-16,30
c2_p2_rise_cyclic_vm6_des.plt,2,2,rise,8.204000e-05,8.204100e-05,2.541962e-16,5.162296e-16,7.704258e-16,30
c2_p2_write_cyclic_vm10_des.plt,2,2,write,8.204100e-05,8.214100e-05,3.627438e-15,1.274683e-13,1.310957e-13,11
c2_p2_write_cyclic_vm4_des.plt,2,2,write,8.204100e-05,8.214100e-05,3.618948e-15,1.253761e-13,1.289951e-13,11
c2_p2_write_cyclic_vm6_des.plt,2,2,write,8.204100e-05,8.214100e-05,3.608250e-15,1.222220e-13,1.258303e-13,11
c2_p3_fall_cyclic_vm10_des.plt,2,3,fall,8.234300e-05,8.234400e-05,-2.767415e-16,6.627620e-16,3.860205e-16,30
c2_p3_fall_cyclic_vm4_des.plt,2,3,fall,8.234300e-05,8.234400e-05,-2.708334e-16,6.121817e-16,3.413483e-16,30
c2_p3_fall_cyclic_vm6_des.plt,2,3,fall,8.234300e-05,8.234400e-05,-2.623119e-16,5.270821e-16,2.647702e-16,30
c2_p3_read_cyclic_vm10_des.plt,2,3,read,8.234400e-05,8.244400e-05,7.497340e-17,3.742686e-18,7.871609e-17,21
c2_p3_read_cyclic_vm4_des.plt,2,3,read,8.234400e-05,8.244400e-05,7.449490e-17,3.719450e-18,7.821435e-17,21
c2_p3_read_cyclic_vm6_des.plt,2,3,read,8.234400e-05,8.244400e-05,7.391475e-17,3.690872e-18,7.760562e-17,21
c2_p3_rise_cyclic_vm10_des.plt,2,3,rise,8.224200e-05,8.224300e-05,2.722778e-16,6.507827e-16,9.230606e-16,30
c2_p3_rise_cyclic_vm4_des.plt,2,3,rise,8.224200e-05,8.224300e-05,2.652847e-16,6.001538e-16,8.654385e-16,30
c2_p3_rise_cyclic_vm6_des.plt,2,3,rise,8.224200e-05,8.224300e-05,2.542367e-16,5.164790e-16,7.707157e-16,30
c2_p3_write_cyclic_vm10_des.plt,2,3,write,8.224300e-05,8.234300e-05,3.627511e-15,1.274791e-13,1.311066e-13,11
c2_p3_write_cyclic_vm4_des.plt,2,3,write,8.224300e-05,8.234300e-05,3.619198e-15,1.254134e-13,1.290326e-13,11
c2_p3_write_cyclic_vm6_des.plt,2,3,write,8.224300e-05,8.234300e-05,3.608325e-15,1.222344e-13,1.258427e-13,11
c2_p4_fall_cyclic_vm10_des.plt,2,4,fall,8.254500e-05,8.254600e-05,-2.767766e-16,6.632812e-16,3.865046e-16,30
c2_p4_fall_cyclic_vm4_des.plt,2,4,fall,8.254500e-05,8.254600e-05,-2.709708e-16,6.137156e-16,3.427448e-16,30
c2_p4_fall_cyclic_vm6_des.plt,2,4,fall,8.254500e-05,8.254600e-05,-2.623666e-16,5.275070e-16,2.651404e-16,30
c2_p4_read_cyclic_vm10_des.plt,2,4,read,8.254600e-05,8.264600e-05,7.497604e-17,3.742810e-18,7.871885e-17,21
c2_p4_read_cyclic_vm4_des.plt,2,4,read,8.254600e-05,8.264600e-05,7.450123e-17,3.719747e-18,7.822098e-17,21
c2_p4_read_cyclic_vm6_des.plt,2,4,read,8.254600e-05,8.264600e-05,7.391574e-17,3.690921e-18,7.760666e-17,21
c2_p4_rise_cyclic_vm10_des.plt,2,4,rise,8.244400e-05,8.244500e-05,2.723218e-16,6.512307e-16,9.235525e-16,30
c2_p4_rise_cyclic_vm4_des.plt,2,4,rise,8.244400e-05,8.244500e-05,2.654434e-16,6.014746e-16,8.669179e-16,30
c2_p4_rise_cyclic_vm6_des.plt,2,4,rise,8.244400e-05,8.244500e-05,2.542954e-16,5.168418e-16,7.711373e-16,30
c2_p4_write_cyclic_vm10_des.plt,2,4,write,8.244500e-05,8.254500e-05,3.627592e-15,1.274942e-13,1.311218e-13,11
c2_p4_write_cyclic_vm4_des.plt,2,4,write,8.244500e-05,8.254500e-05,3.619485e-15,1.254662e-13,1.290856e-13,11
c2_p4_write_cyclic_vm6_des.plt,2,4,write,8.244500e-05,8.254500e-05,3.608416e-15,1.222515e-13,1.258600e-13,11
c2_p5_fall_cyclic_vm10_des.plt,2,5,fall,8.274700e-05,8.274800e-05,-2.768191e-16,6.639116e-16,3.870925e-16,30
c2_p5_fall_cyclic_vm4_des.plt,2,5,fall,8.274700e-05,8.274800e-05,-2.711364e-16,6.155828e-16,3.444465e-16,30
