timestep,Normal,Epileptic
647,0.5274925,0.47250748
648,0.5501868,0.4498132
649,0.54775405,0.45224598
650,0.5117814,0.4882186
651,0.51120687,0.4887931
652,0.5106604,0.48933962
653,0.5789596,0.42104042
654,0.5751678,0.4248322
655,0.57155275,0.42844728
656,0.5681069,0.43189317
657,0.58842874,0.4115713
658,0.61472714,0.3852729
659,0.60931545,0.39068455
660,0.61524296,0.38475695
661,0.6098087,0.39019135
662,0.6016512,0.39834887
663,0.5968208,0.4031793
664,0.59220845,0.40779153
665,0.58780605,0.41219395
666,0.5836053,0.41639474
667,0.5795981,0.4204019
668,0.57577664,0.4242234
669,0.58351225,0.41648775
670,0.5795094,0.42049062
671,0.57569206,0.424308
672,0.5720524,0.4279475
673,0.5994714,0.40052855
674,0.59473926,0.40526074
675,0.5902215,0.40977854
676,0.5859099,0.4140901
677,0.5817964,0.41820362
678,0.57787293,0.42212707
679,0.5468042,0.45319578
680,0.522534,0.47746605
681,0.47976354,0.5202365
682,0.45831832,0.54168177
683,0.5238307,0.4761693
684,0.52266985,0.47733006
685,0.49483094,0.50516903
686,0.49508303,0.5049169
687,0.4953229,0.5046771
688,0.4673674,0.5326326
689,0.43584207,0.56415796
690,0.46676907,0.53323096
691,0.44603553,0.55396444
692,0.4486489,0.55135113
693,0.4527693,0.54723066
694,0.45506045,0.5449396
695,0.45724156,0.5427584
696,0.45931783,0.54068214
697,0.48719358,0.5128065
698,0.487818,0.512182
699,0.48841202,0.51158804
700,0.48897707,0.5110229
701,0.48951462,0.5104854
702,0.49002594,0.50997406
703,0.49051234,0.5094877
704,0.49262178,0.5073782
705,0.49298164,0.5070184
706,0.45924205,0.54075795
707,0.4278707,0.5721293
708,0.4313436,0.56865644
709,0.43465334,0.56534666
710,0.43156573,0.56843424
711,0.41050234,0.5894976
712,0.36927405,0.63072604
713,0.41638175,0.5836183
714,0.4203895,0.57961047
715,0.42421156,0.57578844
716,0.4278556,0.5721444
717,0.45907092,0.5409291
718,0.46105912,0.5389409
719,0.46295148,0.5370485
720,0.4647525,0.53524745
721,0.4516573,0.5483427
722,0.45400175,0.5459983
723,0.45623377,0.54376626
724,0.46582755,0.5341724
725,0.46748966,0.53251034
726,0.43131822,0.5686818
727,0.43462917,0.5653708
728,0.43778405,0.5622159
729,0.4407897,0.55921024
730,0.4436528,0.5563472
731,0.42424175,0.5757582
732,0.4278844,0.5721156
733,0.43135664,0.56864333
734,0.39421538,0.6057846
735,0.39923096,0.600769
736,0.3785451,0.62145495
737,0.3531409,0.6468591
738,0.35991403,0.64008594
739,0.34712332,0.6528767
740,0.35413915,0.6458608
741,0.36042023,0.6395798
742,0.36689425,0.63310575
743,0.38015226,0.6198478
744,0.37874666,0.6212533
745,0.384443,0.61555696
746,0.35102028,0.6489797
747,0.35787943,0.6421206
748,0.32013914,0.67986083
749,0.3281873,0.6718127
750,0.33593774,0.6640622
751,0.34339312,0.6566069
752,0.33019188,0.6698082
753,0.30863053,0.6913694
754,0.27693793,0.72306204
755,0.28640917,0.7135908
756,0.295596,0.704404
757,0.30449137,0.6955086
758,0.31309074,0.6869092
759,0.32270628,0.6772937
760,0.32991314,0.67008686
761,0.33759862,0.66240144
762,0.34498972,0.6550103
763,0.35209063,0.64790934
764,0.35890642,0.64109355
765,0.3654431,0.63455683
766,0.37170738,0.6282927
767,0.37770635,0.62229365
768,0.38344774,0.6165523
769,0.41215628,0.5878437
770,0.43498904,0.56501096
771,0.46964312,0.5303569
772,0.49101177,0.5089882
773,0.49145013,0.50854987
774,0.4918671,0.5081329
775,0.4922638,0.50773627
776,0.6038247,0.3961753
777,0.59889674,0.4011033
778,0.5941905,0.4058095
779,0.5896977,0.41030228
780,0.60164756,0.39835247
781,0.6562393,0.3437608
782,0.6490896,0.35091037
783,0.6918842,0.30811575
784,0.70320946,0.2967906
785,0.69435304,0.305647
786,0.68579304,0.31420696
787,0.67753154,0.32246846
788,0.6695686,0.33043137
789,0.6619028,0.3380972
790,0.654531,0.345469
791,0.6474492,0.35255086
792,0.6626016,0.33739844
793,0.6722111,0.3277889
794,0.6644457,0.33555433
795,0.6541806,0.3458194
796,0.6213799,0.37862
797,0.61567813,0.38432187
798,0.6102247,0.38977525
799,0.60501164,0.39498836
800,0.6000306,0.39996946
801,0.59527314,0.40472683
802,0.5907311,0.4092689
803,0.5863962,0.41360378
804,0.5822603,0.41773972
805,0.5510464,0.44895357
806,0.5485725,0.45142752
807,0.5424704,0.45752963
808,0.54040796,0.45959198
809,0.5384449,0.4615551
810,0.53657645,0.46342355
811,0.5347982,0.4652018
812,0.5110499,0.48894998
813,0.48277897,0.51722103
814,0.48361838,0.5163816
815,0.47515103,0.524849
816,0.45395562,0.5460443
817,0.45618984,0.5438101
818,0.45831668,0.54168326
819,0.41080028,0.5891998
820,0.415065,0.584935
821,0.3177728,0.68222725
822,0.32590663,0.67409337
823,0.2788082,0.7211919
824,0.2882246,0.71177536
825,0.29735503,0.702645
826,0.28215843,0.7178416
827,0.29147497,0.70852506
828,0.29427278,0.7057272
829,0.28439167,0.7156083
830,0.2936405,0.7063595
831,0.30259913,0.69740087
832,0.28263742,0.7173625
833,0.29193956,0.70806044
834,0.3009527,0.69904727
835,0.30967143,0.6903286
836,0.33468443,0.66531557
837,0.34218806,0.6578119
838,0.3493998,0.6506002
839,0.38049287,0.6195071
840,0.38611346,0.6138866
841,0.39148813,0.6085118
842,0.39662525,0.6033747
843,0.40153307,0.59846693
844,0.40621987,0.59378016
845,0.41069397,0.58930606
846,0.4149636,0.58503646
847,0.43751583,0.56248415
848,0.45727536,0.5427246
849,0.41830215,0.5816978
850,0.4477501,0.5522499
851,0.45028153,0.54971844
852,0.45269194,0.54730815
853,0.45498675,0.5450133
854,0.45717138,0.54282856
855,0.45925105,0.54074895
856,0.47321764,0.5267824
857,0.49336964,0.50663036
858,0.49369302,0.50630695
859,0.49400064,0.5059993
860,0.49429327,0.5057067
861,0.4945716,0.5054284
862,0.4948364,0.5051636
863,0.52104986,0.4789501
864,0.48660952,0.5133905
865,0.4872624,0.5127376
866,0.4878835,0.51211655
867,0.48847428,0.5115257
868,0.48903635,0.5109637
869,0.48957095,0.510429
870,0.49007958,0.5099205
871,0.49056333,0.50943667
872,0.49102357,0.50897646
873,0.49146134,0.50853866
874,0.45488822,0.5451118
875,0.4570776,0.5429224
876,0.4591618,0.54083824
877,0.47994745,0.52005255
878,0.48092467,0.5190754
879,0.48185423,0.5181457
880,0.4842421,0.51575786
881,0.4850103,0.5149897
882,0.45245272,0.5475473
883,0.4325302,0.5674698
884,0.46147817,0.5385218
885,0.4633503,0.53664964
886,0.46513212,0.5348679
887,0.46682784,0.5331722
888,0.46844152,0.5315585
889,0.4699771,0.53002286
890,0.47143838,0.5285617
891,0.47282872,0.52717125
892,0.44097653,0.5590235
893,0.44383073,0.5561693
894,0.44654915,0.5534508
895,0.44913796,0.550862
896,0.45160306,0.54839694
897,0.4539501,0.5460499
898,0.45618454,0.54381543
899,0.45831165,0.5416883
900,0.46033642,0.5396636
901,0.4622636,0.53773636
902,0.4640979,0.5359021
903,0.46584356,0.53415644
904,0.4675049,0.53249514
905,0.4690858,0.5309142
906,0.47059017,0.52940977
907,0.47202173,0.5279783
908,0.4733838,0.52661616
909,0.47467983,0.5253201
910,0.47591302,0.524087
911,0.47708625,0.52291375
912,0.4782025,0.5217975
913,0.47926456,0.5207355
914,0.48027492,0.5197251
915,0.4476401,0.55236
916,0.45017672,0.5498232
917,0.4525921,0.54740787
918,0.43416628,0.5658337
919,0.4191793,0.5808207
920,0.35138422,0.64861584
921,0.32779375,0.6722062
922,0.335559,0.66444105
923,0.3536174,0.64638263
924,0.36037114,0.6396289
925,0.32384372,0.6761562
926,0.33801296,0.661987
927,0.31216466,0.6878353
928,0.32049844,0.67950153
929,0.31237987,0.6876201
930,0.29200855,0.7079914
931,0.30101952,0.69898045
932,0.30973598,0.6902639
933,0.31815484,0.6818451
934,0.27217555,0.7278244
935,0.28178334,0.71821666
936,0.29247278,0.7075273
937,0.30146888,0.69853115
938,0.31017032,0.6898297
939,0.318574,0.68142605
940,0.32667893,0.6733211
941,0.31110513,0.68889487
942,0.3194761,0.68052393
943,0.32754833,0.6724517
944,0.3484954,0.65150464
945,0.3554563,0.6445437
946,0.3621349,0.63786507
947,0.36853763,0.6314624
948,0.38639855,0.61360145
949,0.39176074,0.6082393
950,0.39688572,0.6031143
951,0.40178183,0.59821814
952,0.40645742,0.59354264
953,0.41092068,0.5890793
954,0.4151799,0.5848201
955,0.41299263,0.5870073
956,0.41715676,0.5828433
